            TIME         VOLTAGE         CURRENT
          0.0453         9.95562         3.53215
          0.0454         9.92115         3.63136
          0.0455         9.87688         3.73013
          0.0456         9.82287         3.82836
          0.0457         9.75917         3.92595
          0.0458         9.68583         4.02281
          0.0459         9.60294         4.11883
           0.046         9.51057         4.21394
          0.0461         9.40881         4.30803
          0.0462         9.29776         4.40101
          0.0463         9.17755         4.49278
          0.0464         9.04827         4.58326
          0.0465         8.91007         4.67237
          0.0466         8.76307            4.76
          0.0467         8.60742         4.84607
          0.0468         8.44328          4.9305
          0.0469         8.27081         5.01321
           0.047         8.09017         5.09411
          0.0471         7.90155         5.17313
          0.0472         7.70513         5.25018
          0.0473         7.50111         5.32519
          0.0474         7.28969         5.39809
          0.0475         7.07107          5.4688
          0.0476         6.84547         5.53725
          0.0477         6.61312         5.60338
          0.0478         6.37424         5.66713
          0.0479         6.12907         5.72842
           0.048         5.87785          5.7872
          0.0481         5.62083          5.8434
          0.0482         5.35827         5.89699
          0.0483         5.09041         5.94789
          0.0484         4.81754         5.99607
          0.0485          4.5399         6.04147
          0.0486         4.25779         6.08404
          0.0487         3.97148         6.12376
          0.0488         3.68125         6.16057
          0.0489         3.38738         6.19444
           0.049         3.09017         6.22535
          0.0491         2.78991         6.25324
          0.0492          2.4869         6.27811
          0.0493         2.18143         6.29993
          0.0494         1.87381         6.31867
          0.0495         1.56434         6.33431
          0.0496         1.25333         6.34684
          0.0497        0.941083         6.35625
          0.0498        0.627905         6.36253
          0.0499        0.314108         6.36567
            0.05    -1.27285e-12         6.36567
          0.0501       -0.314108         6.36253
          0.0502       -0.627905         6.35625
          0.0503       -0.941083         6.34684
          0.0504        -1.25333         6.33431
          0.0505        -1.56434         6.31867
          0.0506        -1.87381         6.29993
          0.0507        -2.18143         6.27811
          0.0508         -2.4869         6.25324
          0.0509        -2.78991         6.22535
           0.051        -3.09017         6.19444
          0.0511        -3.38738         6.16057
          0.0512        -3.68125         6.12376
          0.0513        -3.97148         6.08404
          0.0514        -4.25779         6.04147
          0.0515         -4.5399         5.99607
          0.0516        -4.81754         5.94789
          0.0517        -5.09041         5.89699
          0.0518        -5.35827          5.8434
          0.0519        -5.62083          5.7872
           0.052        -5.87785         5.72842
          0.0521        -6.12907         5.66713
          0.0522        -6.37424         5.60338
          0.0523        -6.61312         5.53725
          0.0524        -6.84547          5.4688
          0.0525        -7.07107         5.39809
          0.0526        -7.28969         5.32519
          0.0527        -7.50111         5.25018
          0.0528        -7.70513         5.17313
          0.0529        -7.90155         5.09411
           0.053        -8.09017         5.01321
          0.0531        -8.27081          4.9305
          0.0532        -8.44328         4.84607
          0.0533        -8.60742            4.76
          0.0534        -8.76307         4.67237
          0.0535        -8.91007         4.58326
          0.0536        -9.04827         4.49278
          0.0537        -9.17755         4.40101
          0.0538        -9.29776         4.30803
          0.0539        -9.40881         4.21394
           0.054        -9.51057         4.11883
          0.0541        -9.60294         4.02281
          0.0542        -9.68583         3.92595
          0.0543        -9.75917         3.82836
          0.0544        -9.82287         3.73013
          0.0545        -9.87688         3.63136
          0.0546        -9.92115         3.53215
          0.0547        -9.95562         3.43259
          0.0548        -9.98027         3.33279
          0.0549        -9.99507         3.23284
           0.055             -10         3.13284
          0.0551        -9.99507         3.03289
          0.0552        -9.98027         2.93308
          0.0553        -9.95562         2.83353
          0.0554        -9.92115         2.73432
          0.0555        -9.87688         2.63555
          0.0556        -9.82287         2.53732
          0.0557        -9.75917         2.43973
          0.0558        -9.68583         2.34287
          0.0559        -9.60294         2.24684
           0.056        -9.51057         2.15173
          0.0561        -9.40881         2.05765
          0.0562        -9.29776         1.96467
          0.0563        -9.17755         1.87289
          0.0564        -9.04827         1.78241
          0.0565        -8.91007         1.69331
          0.0566        -8.76307         1.60568
          0.0567        -8.60742          1.5196
          0.0568        -8.44328         1.43517
          0.0569        -8.27081         1.35246
           0.057        -8.09017         1.27156
          0.0571        -7.90155         1.19255
          0.0572        -7.70513         1.11549
          0.0573        -7.50111         1.04048
          0.0574        -7.28969        0.967587
          0.0575        -7.07107        0.896876
          0.0576        -6.84547        0.828421
          0.0577        -6.61312         0.76229
          0.0578        -6.37424        0.698548
          0.0579        -6.12907        0.637257
           0.058        -5.87785        0.578479
          0.0581        -5.62083         0.52227
          0.0582        -5.35827        0.468688
          0.0583        -5.09041        0.417783
          0.0584        -4.81754        0.369608
          0.0585         -4.5399        0.324209
          0.0586        -4.25779        0.281631
          0.0587        -3.97148        0.241916
          0.0588        -3.68125        0.205104
          0.0589        -3.38738         0.17123
           0.059        -3.09017        0.140328
          0.0591        -2.78991        0.112429
          0.0592         -2.4869       0.0875602
          0.0593        -2.18143       0.0657459
          0.0594        -1.87381       0.0470077
          0.0595        -1.56434       0.0313643
          0.0596        -1.25333        0.018831
          0.0597       -0.941083      0.00942013
          0.0598       -0.627905      0.00314108
          0.0599       -0.314108     1.57433e-13
            0.06     2.15981e-12     1.79031e-13
          0.0601        0.314108      0.00314108
          0.0602        0.627905      0.00942013
          0.0603        0.941083        0.018831
          0.0604         1.25333       0.0313643
          0.0605         1.56434       0.0470077
          0.0606         1.87381       0.0657459
          0.0607         2.18143       0.0875602
          0.0608          2.4869        0.112429
          0.0609         2.78991        0.140328
           0.061         3.09017         0.17123
          0.0611         3.38738        0.205104
          0.0612         3.68125        0.241916
          0.0613         3.97148        0.281631
          0.0614         4.25779        0.324209
          0.0615          4.5399        0.369608
          0.0616         4.81754        0.417783
          0.0617         5.09041        0.468688
          0.0618         5.35827         0.52227
          0.0619         5.62083        0.578479
           0.062         5.87785        0.637257
          0.0621         6.12907        0.698548
          0.0622         6.37424         0.76229
          0.0623         6.61312        0.828421
          0.0624         6.84547        0.896876
          0.0625         7.07107        0.967587
          0.0626         7.28969         1.04048
          0.0627         7.50111         1.11549
          0.0628         7.70513         1.19255
          0.0629         7.90155         1.27156
           0.063         8.09017         1.35246
          0.0631         8.27081         1.43517
          0.0632         8.44328          1.5196
          0.0633         8.60742         1.60568
          0.0634         8.76307         1.69331
          0.0635         8.91007         1.78241
          0.0636         9.04827         1.87289
          0.0637         9.17755         1.96467
          0.0638         9.29776         2.05765
