ens33: tx_bytes:586513 rx_bytes:9090259 tx_packets:6695 rx_packets: 11197
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:586843 rx_bytes:9090769 tx_packets:6699 rx_packets: 11204
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:587203 rx_bytes:9091369 tx_packets:6703 rx_packets: 11212
ens33: tx_bytes:588013 rx_bytes:9092659 tx_packets:6712 rx_packets: 11229
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589215 rx_bytes:9093379 tx_packets:6725 rx_packets: 11239
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589215 rx_bytes:9093553 tx_packets:6725 rx_packets: 11240
ens33: tx_bytes:589485 rx_bytes:9094003 tx_packets:6728 rx_packets: 11246
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589755 rx_bytes:9094453 tx_packets:6731 rx_packets: 11252
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:589935 rx_bytes:9094753 tx_packets:6733 rx_packets: 11256
ens33: tx_bytes:590115 rx_bytes:9095053 tx_packets:6735 rx_packets: 11260
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:590295 rx_bytes:9095353 tx_packets:6737 rx_packets: 11264
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590581 rx_bytes:9095563 tx_packets:6740 rx_packets: 11267
ens33: tx_bytes:590851 rx_bytes:9096013 tx_packets:6743 rx_packets: 11273
ens33: tx_bytes:591391 rx_bytes:9097087 tx_packets:6749 rx_packets: 11286
ens33: tx_bytes:591841 rx_bytes:9097837 tx_packets:6754 rx_packets: 11296
ens33: tx_bytes:592021 rx_bytes:9098137 tx_packets:6756 rx_packets: 11300
ens33: tx_bytes:593267 rx_bytes:9099187 tx_packets:6770 rx_packets: 11314
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593627 rx_bytes:9099247 tx_packets:6774 rx_packets: 11315
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593627 rx_bytes:9099307 tx_packets:6774 rx_packets: 11316
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593627 rx_bytes:9099307 tx_packets:6774 rx_packets: 11316
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593627 rx_bytes:9099307 tx_packets:6774 rx_packets: 11316
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593627 rx_bytes:9099307 tx_packets:6774 rx_packets: 11316
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:593897 rx_bytes:9099757 tx_packets:6777 rx_packets: 11322
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:594077 rx_bytes:9100057 tx_packets:6779 rx_packets: 11326
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:594347 rx_bytes:9100507 tx_packets:6782 rx_packets: 11332
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:594347 rx_bytes:9100507 tx_packets:6782 rx_packets: 11332
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:594617 rx_bytes:9100957 tx_packets:6785 rx_packets: 11338
ens33: tx_bytes:594707 rx_bytes:9101107 tx_packets:6786 rx_packets: 11340
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:594707 rx_bytes:9101107 tx_packets:6786 rx_packets: 11340
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
lo: tx_bytes:15842 rx_bytes:15842 tx_packets:190 rx_packets: 190
ens33: tx_bytes:634776 rx_bytes:9138112 tx_packets:7209 rx_packets: 11826
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635136 rx_bytes:9138232 tx_packets:7213 rx_packets: 11828
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635136 rx_bytes:9138232 tx_packets:7213 rx_packets: 11828
ens33: tx_bytes:635136 rx_bytes:9138232 tx_packets:7213 rx_packets: 11828
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635136 rx_bytes:9138232 tx_packets:7213 rx_packets: 11828
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635136 rx_bytes:9138232 tx_packets:7213 rx_packets: 11828
ens33: tx_bytes:635226 rx_bytes:9138382 tx_packets:7214 rx_packets: 11830
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635586 rx_bytes:9138982 tx_packets:7218 rx_packets: 11838
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635676 rx_bytes:9139132 tx_packets:7219 rx_packets: 11840
ens33: tx_bytes:635766 rx_bytes:9139282 tx_packets:7220 rx_packets: 11842
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:635856 rx_bytes:9139432 tx_packets:7221 rx_packets: 11844
ens33: tx_bytes:636216 rx_bytes:9140032 tx_packets:7225 rx_packets: 11852
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
lo: tx_bytes:16291 rx_bytes:16291 tx_packets:195 rx_packets: 195
ens33: tx_bytes:636216 rx_bytes:9140032 tx_packets:7225 rx_packets: 11852
ens33: tx_bytes:636936 rx_bytes:9140302 tx_packets:7233 rx_packets: 11856
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
