      Time   Voltage  Inductor Capacitor  Resistor     Total
    0.0323  -66.1312   55.3725   -2.3888   -6.6131   46.3706
    0.0324  -68.4547   54.6880   -2.3235   -6.8455   45.5190
    0.0325  -70.7107   53.9809   -2.2560   -7.0711   44.6538
    0.0326  -72.8969   53.2519   -2.1862   -7.2897   43.7760
    0.0327  -75.0111   52.5018   -2.1142   -7.5011   42.8864
    0.0328  -77.0513   51.7313   -2.0402   -7.7051   41.9859
    0.0329  -79.0155   50.9411   -1.9642   -7.9016   41.0754
    0.0330  -80.9017   50.1321   -1.8862   -8.0902   40.1557
    0.0331  -82.7081   49.3050   -1.8064   -8.2708   39.2279
    0.0332  -84.4328   48.4607   -1.7247   -8.4433   38.2927
    0.0333  -86.0742   47.6000   -1.6414   -8.6074   37.3511
    0.0334  -87.6307   46.7237   -1.5565   -8.7631   36.4041
    0.0335  -89.1007   45.8326   -1.4700   -8.9101   35.4526
    0.0336  -90.4827   44.9278   -1.3821   -9.0483   34.4975
    0.0337  -91.7755   44.0101   -1.2928   -9.1775   33.5398
    0.0338  -92.9776   43.0803   -1.2022   -9.2978   32.5803
    0.0339  -94.0881   42.1394   -1.1104   -9.4088   31.6202
    0.0340  -95.1057   41.1883   -1.0176   -9.5106   30.6602
    0.0341  -96.0294   40.2281   -0.9237   -9.6029   29.7014
    0.0342  -96.8583   39.2595   -0.8289   -9.6858   28.7447
    0.0343  -97.5917   38.2836   -0.7334   -9.7592   27.7910
    0.0344  -98.2287   37.3013   -0.6370   -9.8229   26.8413
    0.0345  -98.7688   36.3136   -0.5401   -9.8769   25.8966
    0.0346  -99.2115   35.3215   -0.4426   -9.9211   24.9577
    0.0347  -99.5562   34.3259   -0.3447   -9.9556   24.0256
    0.0348  -99.8027   33.3279   -0.2465   -9.9803   23.1011
    0.0349  -99.9507   32.3284   -0.1480   -9.9951   22.1853
    0.0350 -100.0000   31.3284   -0.0493  -10.0000   21.2790
    0.0351  -99.9507   30.3289    0.0493   -9.9951   20.3831
    0.0352  -99.8027   29.3308    0.1480   -9.9803   19.4986
    0.0353  -99.5562   28.3353    0.2465   -9.9556   18.6261
    0.0354  -99.2115   27.3432    0.3447   -9.9211   17.7667
    0.0355  -98.7688   26.3555    0.4426   -9.8769   16.9212
    0.0356  -98.2287   25.3732    0.5401   -9.8229   16.0904
    0.0357  -97.5917   24.3973    0.6370   -9.7592   15.2751
    0.0358  -96.8583   23.4287    0.7334   -9.6858   14.4762
    0.0359  -96.0294   22.4684    0.8289   -9.6029   13.6944
    0.0360  -95.1057   21.5173    0.9237   -9.5106   12.9305
    0.0361  -94.0881   20.5765    1.0176   -9.4088   12.1852
    0.0362  -92.9776   19.6467    1.1104   -9.2978   11.4593
    0.0363  -91.7755   18.7289    1.2022   -9.1775   10.7536
    0.0364  -90.4827   17.8241    1.2928   -9.0483   10.0686
    0.0365  -89.1007   16.9331    1.3821   -8.9101    9.4051
    0.0366  -87.6307   16.0568    1.4700   -8.7631    8.7637
    0.0367  -86.0742   15.1960    1.5565   -8.6074    8.1451
    0.0368  -84.4328   14.3517    1.6414   -8.4433    7.5498
    0.0369  -82.7081   13.5246    1.7247   -8.2708    6.9786
    0.0370  -80.9017   12.7156    1.8064   -8.0902    6.4318
    0.0371  -79.0155   11.9255    1.8862   -7.9016    5.9101
    0.0372  -77.0513   11.1549    1.9642   -7.7051    5.4140
    0.0373  -75.0111   10.4048    2.0402   -7.5011    4.9439
    0.0374  -72.8969    9.6759    2.1142   -7.2897    4.5004
    0.0375  -70.7107    8.9688    2.1862   -7.0711    4.0839
    0.0376  -68.4547    8.2842    2.2560   -6.8455    3.6947
    0.0377  -66.1312    7.6229    2.3235   -6.6131    3.3333
    0.0378  -63.7424    6.9855    2.3888   -6.3742    3.0000
    0.0379  -61.2907    6.3726    2.4517   -6.1291    2.6952
    0.0380  -58.7785    5.7848    2.5122   -5.8779    2.4191
    0.0381  -56.2083    5.2227    2.5702   -5.6208    2.1721
    0.0382  -53.5827    4.6869    2.6257   -5.3583    1.9543
    0.0383  -50.9041    4.1778    2.6785   -5.0904    1.7660
    0.0384  -48.1754    3.6961    2.7288   -4.8175    1.6073
    0.0385  -45.3990    3.2421    2.7763   -4.5399    1.4785
    0.0386  -42.5779    2.8163    2.8211   -4.2578    1.3796
    0.0387  -39.7148    2.4192    2.8631   -3.9715    1.3108
    0.0388  -36.8125    2.0510    2.9023   -3.6812    1.2721
    0.0389  -33.8738    1.7123    2.9387   -3.3874    1.2636
    0.0390  -30.9017    1.4033    2.9721   -3.0902    1.2852
    0.0391  -27.8991    1.1243    3.0026   -2.7899    1.3370
    0.0392  -24.8690    0.8756    3.0301   -2.4869    1.4188
    0.0393  -21.8143    0.6575    3.0547   -2.1814    1.5307
    0.0394  -18.7381    0.4701    3.0762   -1.8738    1.6725
    0.0395  -15.6434    0.3136    3.0947   -1.5643    1.8440
    0.0396  -12.5333    0.1883    3.1101   -1.2533    2.0451
    0.0397   -9.4108    0.0942    3.1225   -0.9411    2.2756
    0.0398   -6.2791    0.0314    3.1318   -0.6279    2.5353
    0.0399   -3.1411    0.0000    3.1380   -0.3141    2.8239
    0.0400    0.0000    0.0000    3.1411    0.0000    3.1411
    0.0401    3.1411    0.0314    3.1411    0.3141    3.4866
    0.0402    6.2791    0.0942    3.1380    0.6279    3.8601
    0.0403    9.4108    0.1883    3.1318    0.9411    4.2612
    0.0404   12.5333    0.3136    3.1225    1.2533    4.6895
    0.0405   15.6434    0.4701    3.1101    1.5643    5.1445
    0.0406   18.7381    0.6575    3.0947    1.8738    5.6260
    0.0407   21.8143    0.8756    3.0762    2.1814    6.1332
    0.0408   24.8690    1.1243    3.0547    2.4869    6.6659
    0.0409   27.8991    1.4033    3.0301    2.7899    7.2233
    0.0410   30.9017    1.7123    3.0026    3.0902    7.8051
    0.0411   33.8738    2.0510    2.9721    3.3874    8.4105
    0.0412   36.8125    2.4192    2.9387    3.6812    9.0391
    0.0413   39.7148    2.8163    2.9023    3.9715    9.6901
    0.0414   42.5779    3.2421    2.8631    4.2578   10.3630
    0.0415   45.3990    3.6961    2.8211    4.5399   11.0571
    0.0416   48.1754    4.1778    2.7763    4.8175   11.7717
    0.0417   50.9041    4.6869    2.7288    5.0904   12.5061
    0.0418   53.5827    5.2227    2.6785    5.3583   13.2595
    0.0419   56.2083    5.7848    2.6257    5.6208   14.0313
    0.0420   58.7785    6.3726    2.5702    5.8779   14.8206
    0.0421   61.2907    6.9855    2.5122    6.1291   15.6267
    0.0422   63.7424    7.6229    2.4517    6.3742   16.4488
    0.0423   66.1312    8.2842    2.3888    6.6131   17.2861
    0.0424   68.4547    8.9688    2.3235    6.8455   18.1378
    0.0425   70.7107    9.6759    2.2560    7.0711   19.0029
    0.0426   72.8969   10.4048    2.1862    7.2897   19.8807
    0.0427   75.0111   11.1549    2.1142    7.5011   20.7703
